,age,Medu,Fedu,failures,traveltime,studytime,Dalc,Walc,absences,Final_grade,goout,famrel,guardian,Mjob,Fjob,sex,Pstatus,romantic
347,18,4,3,0,1,3,2,3,0,9,5,5,mother,teacher,other,M,T,yes
348,17,4,3,0,1,3,1,3,0,15,3,4,mother,health,other,F,T,yes
349,18,3,2,1,2,1,5,5,10,13,5,2,mother,other,other,M,T,no
350,19,1,1,3,3,2,3,3,8,8,4,5,other,other,services,M,T,no
351,17,3,3,0,2,2,2,3,2,13,4,4,mother,health,other,M,T,no
352,18,1,3,1,1,1,2,3,7,8,3,4,mother,at_home,services,M,T,yes
353,19,1,1,1,3,1,3,3,4,8,4,4,other,other,other,M,T,no
354,17,4,3,0,2,2,1,3,4,11,5,4,mother,services,other,M,T,yes
355,18,3,3,0,1,2,1,1,0,9,4,5,father,services,services,F,T,yes
356,17,4,4,0,2,2,1,2,4,13,3,4,father,teacher,services,F,T,no
357,17,3,2,0,2,2,1,2,2,11,3,1,mother,services,other,F,A,yes
358,18,1,1,0,2,1,1,2,4,10,2,3,father,other,services,M,T,yes
359,18,1,1,0,2,3,1,1,0,16,2,5,father,at_home,services,F,T,no
360,18,1,4,0,3,2,1,4,0,13,4,4,mother,at_home,other,F,A,yes
361,18,1,1,1,2,2,2,3,2,12,3,4,mother,at_home,other,M,T,no
362,18,3,3,0,2,2,1,3,0,10,2,4,mother,services,services,F,T,yes
363,17,4,4,0,1,2,1,1,0,15,4,2,mother,at_home,at_home,F,T,yes
364,17,1,2,0,2,2,1,2,0,12,2,3,father,other,services,F,T,no
365,18,1,3,0,2,2,2,4,4,10,4,3,mother,at_home,other,M,T,no
366,18,4,4,0,2,3,2,2,0,13,2,4,mother,teacher,services,M,T,yes
367,17,1,1,1,3,1,1,2,0,0,1,5,mother,other,services,F,T,yes
368,18,2,3,0,2,1,1,2,0,10,3,5,father,at_home,services,F,T,yes
369,18,4,4,0,3,2,4,2,10,11,2,3,father,other,teacher,F,T,yes
370,19,3,2,2,2,2,1,1,4,9,2,3,other,services,services,F,T,yes
371,18,1,2,0,3,1,2,3,3,12,3,4,father,at_home,services,M,T,yes
372,17,2,2,0,1,3,1,1,8,11,3,3,mother,other,at_home,F,T,yes
373,17,1,2,0,1,1,1,3,14,5,5,3,mother,other,other,F,T,no
374,18,4,4,0,2,3,1,1,0,19,4,5,mother,other,other,F,T,no
375,18,1,1,0,4,3,1,2,2,10,2,4,mother,other,other,F,T,no
376,20,4,2,2,2,3,1,1,4,15,3,5,other,health,other,F,T,yes
377,18,4,4,0,1,2,3,4,4,10,3,5,mother,teacher,services,F,T,no
378,18,3,3,0,1,2,1,2,0,15,3,4,mother,other,other,F,T,yes
379,17,3,1,0,1,2,2,3,17,10,4,4,mother,at_home,other,F,T,no
380,18,4,4,0,1,2,1,4,4,14,4,3,father,teacher,teacher,M,T,no
381,18,2,1,0,2,1,1,3,5,7,3,4,mother,other,other,M,T,yes
382,17,2,3,0,2,2,1,1,2,10,3,4,father,other,services,M,T,no
383,19,1,1,1,2,1,1,3,0,0,2,4,mother,other,services,M,T,no
384,18,4,2,1,2,1,4,3,14,5,3,5,father,other,other,M,T,no
385,18,2,2,0,2,3,1,3,2,10,3,5,mother,at_home,other,F,T,no
386,18,4,4,0,3,1,2,2,7,6,3,4,mother,teacher,at_home,F,T,yes
387,19,2,3,1,1,3,1,2,0,0,2,5,mother,services,other,F,T,no
388,18,3,1,0,1,2,1,1,0,8,4,4,mother,teacher,services,F,T,no
389,18,1,1,1,2,2,1,1,0,0,1,1,mother,other,other,F,T,no
390,20,2,2,2,1,2,4,5,11,9,4,5,other,services,services,M,A,no
391,17,3,1,0,2,1,3,4,3,16,5,2,mother,services,services,M,T,no
392,21,1,1,3,1,1,3,3,3,7,3,5,other,other,other,M,T,no
393,18,3,2,0,3,1,3,4,0,10,1,4,mother,services,other,M,T,no
394,19,1,1,0,1,1,3,3,5,9,3,3,father,other,at_home,M,T,no
